Designator,Footprint,Quantity,Value,LCSC Part #
A2,Arduino_Nano,1,Arduino_Nano_Every,
BLUETOOTH1,PinSocket_1x06_P2.54mm_Vertical,1,~,
"C1, C11, C2, C3, C4, C5, C6, C7, C8",0805,9,1uF,
"C10, C12, C13",0805,3,10nF,
C9,0805,1,100nF,
"H2, H3, H4, H5, H6",MountingHole_3.2mm_M3,5,MountingHole,
J1,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J7,BarrelJack_Horizontal,1,Barrel_Jack_MountingPin,
"R1, R2, R3",0805,3,20k,
R4,0805,1,4.7k,
R5,0805,1,2.2k,
"R6, R7",0805,2,10k,
"R8, R9",0805,2,1k,
SDCARD1,PinSocket_1x06_P2.54mm_Vertical,1,micro sd card adapter,
"SW1, SW2",SW_SPST_B3U-3100P-B,2,SW_Push_SPDT,
"TH1, TH2",R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,2,Thermistor_NTC_US,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U3,L_Axial_L9.5mm_D4.0mm_P5.08mm_Vertical_Fastron_SMCC,1,WCS1600,
