Designator,Mid X,Mid Y,Rotation,Layer
A2,116.04238,-104.924976,0.0,top
BLUETOOTH1,101.26,-89.915,180.0,top
C1,137.952381,-104.504976,90.0,bottom
C10,145.55238,-131.524976,225.0,bottom
C11,145.138797,-135.04013,225.0,bottom
C12,141.78004,-131.638946,225.0,bottom
C13,105.49238,-80.454977,90.0,bottom
C2,140.31238,-102.084976,270.0,bottom
C3,136.47238,-93.002476,90.0,bottom
C4,115.64238,-83.374975,180.0,bottom
C5,115.62238,-81.084976,180.0,bottom
C6,128.82238,-88.244976,270.0,bottom
C7,131.42238,-88.254976,270.0,bottom
C8,119.49988,-111.024976,0.0,bottom
C9,119.48238,-108.424976,0.0,bottom
J1,76.36238,-112.674976,180.0,top
J2,133.05238,-97.904976,90.0,top
J4,106.39238,-72.604976,270.0,top
J5,145.94238,-113.679976,180.0,top
J7,139.12738,-75.924976,180.0,top
R1,141.50238,-118.524976,180.0,bottom
R2,141.45238,-116.254976,0.0,bottom
R3,141.452379,-113.924976,180.0,bottom
R4,141.462379,-111.574976,0.0,bottom
R5,141.46238,-109.164976,180.0,bottom
R6,142.64238,-102.142476,90.0,bottom
R7,138.82238,-92.864976,270.0,bottom
R8,140.152381,-128.084976,135.0,bottom
R9,107.85238,-80.344976,270.0,bottom
SDCARD1,103.53238,-137.159976,180.0,top
SW1,93.392379,-73.524976,270.0,top
SW2,122.08238,-72.424977,90.0,top
TH1,144.06,-97.99,180.0,top
TH2,144.11238,-93.264976,180.0,top
U1,133.60238,-110.434976,90.0,bottom
U2,117.46238,-88.474976,0.0,bottom
U3,135.835039,-134.667131,315.0,top
